fold_id,true_positive,false_positive,true_negative,false_negative,signals,baseline_signals,signal_coverage,events,dates,dates_with_signal,precision,specificity,sensitivity,candidate_id,gate_name,threshold_quantile,minimum_score
2,38,35,5516,4819,73,566,0.12897526501766785,10408,91,26,0.5205479452054794,0.9936948297604036,0.007823759522338892,G1_block_broad_decline__q0750,G1_block_broad_decline,0.75,0.6510501205921173
3,42,1,2844,7510,43,594,0.0723905723905724,10397,136,21,0.9767441860465116,0.9996485061511423,0.005561440677966102,G1_block_broad_decline__q0750,G1_block_broad_decline,0.75,0.6510501205921173
4,170,9,1146,8994,179,624,0.28685897435897434,10319,231,115,0.9497206703910615,0.9922077922077922,0.018550851156700132,G1_block_broad_decline__q0750,G1_block_broad_decline,0.75,0.6510501205921173
5,154,80,5032,5106,234,671,0.34873323397913564,10372,288,162,0.6581196581196581,0.9843505477308294,0.029277566539923954,G1_block_broad_decline__q0750,G1_block_broad_decline,0.75,0.6510501205921173
1,126,160,6194,3864,286,561,0.5098039215686274,10344,92,47,0.4405594405594406,0.9748190116462071,0.031578947368421054,G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,0.0,0.3844631016254425
2,149,123,5428,4708,272,566,0.48056537102473496,10408,91,45,0.5477941176470589,0.9778418303008467,0.030677372863907763,G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,0.0,0.3844631016254425
3,262,47,2798,7290,309,594,0.5202020202020202,10397,136,74,0.8478964401294499,0.9834797891036907,0.03469279661016949,G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,0.0,0.3844631016254425
4,325,18,1137,8839,343,624,0.5496794871794872,10319,231,136,0.9475218658892128,0.9844155844155844,0.035464862505456135,G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,0.0,0.3844631016254425
5,162,69,5043,5098,231,671,0.3442622950819672,10372,288,126,0.7012987012987013,0.9865023474178404,0.030798479087452472,G2_block_decline_and_deterioration__q0000,G2_block_decline_and_deterioration,0.0,0.3844631016254425
1,96,117,6237,3894,213,561,0.37967914438502676,10344,92,39,0.4507042253521127,0.9815864022662889,0.02406015037593985,G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,0.25,0.5445379614830017
2,132,113,5438,4725,245,566,0.43286219081272087,10408,91,42,0.5387755102040817,0.97964330751216,0.027177269919703522,G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,0.25,0.5445379614830017
3,105,14,2831,7447,119,594,0.20033670033670034,10397,136,54,0.8823529411764706,0.9950790861159929,0.013903601694915254,G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,0.25,0.5445379614830017
4,262,16,1139,8902,278,624,0.44551282051282054,10319,231,125,0.9424460431654677,0.9861471861471861,0.02859013531209079,G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,0.25,0.5445379614830017
5,154,68,5044,5106,222,671,0.33084947839046197,10372,288,123,0.6936936936936937,0.986697965571205,0.029277566539923954,G2_block_decline_and_deterioration__q0250,G2_block_decline_and_deterioration,0.25,0.5445379614830017
1,61,73,6281,3929,134,561,0.23885918003565063,10344,92,27,0.4552238805970149,0.988511174063582,0.015288220551378446,G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,0.5,0.5998151302337646
2,62,59,5492,4795,121,566,0.2137809187279152,10408,91,30,0.512396694214876,0.9893712844532516,0.01276508132592135,G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,0.5,0.5998151302337646
3,57,5,2840,7495,62,594,0.10437710437710437,10397,136,27,0.9193548387096774,0.9982425307557118,0.007547669491525424,G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,0.5,0.5998151302337646
4,185,9,1146,8979,194,624,0.3108974358974359,10319,231,102,0.9536082474226805,0.9922077922077922,0.02018769096464426,G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,0.5,0.5998151302337646
5,140,65,5047,5120,205,671,0.3055141579731744,10372,288,118,0.6829268292682927,0.9872848200312989,0.026615969581749048,G2_block_decline_and_deterioration__q0500,G2_block_decline_and_deterioration,0.5,0.5998151302337646
1,28,37,6317,3962,65,561,0.11586452762923351,10344,92,18,0.4307692307692308,0.9941768964431854,0.007017543859649123,G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,0.65,0.63206847012043
2,24,19,5532,4833,43,566,0.07597173144876325,10408,91,19,0.5581395348837209,0.9965771932985048,0.004941321803582459,G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,0.65,0.63206847012043
3,46,3,2842,7506,49,594,0.08249158249158249,10397,136,24,0.9387755102040817,0.998945518453427,0.0060911016949152545,G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,0.65,0.63206847012043
4,154,7,1148,9010,161,624,0.25801282051282054,10319,231,95,0.9565217391304348,0.9939393939393939,0.01680488869489306,G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,0.65,0.63206847012043
5,109,58,5054,5151,167,671,0.2488822652757079,10372,288,109,0.6526946107784432,0.9886541471048513,0.020722433460076045,G2_block_decline_and_deterioration__q0650,G2_block_decline_and_deterioration,0.65,0.63206847012043
1,12,22,6332,3978,34,561,0.06060606060606061,10344,92,12,0.35294117647058826,0.9965376141013534,0.0030075187969924814,G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,0.75,0.6510501205921173
2,4,7,5544,4853,11,566,0.019434628975265017,10408,91,9,0.36363636363636365,0.9987389659520807,0.0008235536339304097,G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,0.75,0.6510501205921173
3,35,1,2844,7517,36,594,0.06060606060606061,10397,136,18,0.9722222222222222,0.9996485061511423,0.0046345338983050845,G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,0.75,0.6510501205921173
4,128,6,1149,9036,134,624,0.21474358974358973,10319,231,87,0.9552238805970149,0.9948051948051948,0.013967699694456569,G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,0.75,0.6510501205921173
5,90,41,5071,5170,131,671,0.19523099850968703,10372,288,96,0.6870229007633588,0.99197965571205,0.017110266159695818,G2_block_decline_and_deterioration__q0750,G2_block_decline_and_deterioration,0.75,0.6510501205921173
1,126,160,6194,3864,286,561,0.5098039215686274,10344,92,47,0.4405594405594406,0.9748190116462071,0.031578947368421054,G3_recovery_only__q0000,G3_recovery_only,0.0,0.3844631016254425
2,149,123,5428,4708,272,566,0.48056537102473496,10408,91,45,0.5477941176470589,0.9778418303008467,0.030677372863907763,G3_recovery_only__q0000,G3_recovery_only,0.0,0.3844631016254425
3,256,43,2802,7296,299,594,0.5033670033670034,10397,136,64,0.8561872909698997,0.9848857644991212,0.03389830508474576,G3_recovery_only__q0000,G3_recovery_only,0.0,0.3844631016254425
4,325,18,1137,8839,343,624,0.5496794871794872,10319,231,136,0.9475218658892128,0.9844155844155844,0.035464862505456135,G3_recovery_only__q0000,G3_recovery_only,0.0,0.3844631016254425
5,138,60,5052,5122,198,671,0.29508196721311475,10372,288,94,0.696969696969697,0.9882629107981221,0.02623574144486692,G3_recovery_only__q0000,G3_recovery_only,0.0,0.3844631016254425
1,96,117,6237,3894,213,561,0.37967914438502676,10344,92,39,0.4507042253521127,0.9815864022662889,0.02406015037593985,G3_recovery_only__q0250,G3_recovery_only,0.25,0.5445379614830017
2,132,113,5438,4725,245,566,0.43286219081272087,10408,91,42,0.5387755102040817,0.97964330751216,0.027177269919703522,G3_recovery_only__q0250,G3_recovery_only,0.25,0.5445379614830017
3,99,10,2835,7453,109,594,0.1835016835016835,10397,136,44,0.908256880733945,0.9964850615114236,0.013109110169491525,G3_recovery_only__q0250,G3_recovery_only,0.25,0.5445379614830017
4,262,16,1139,8902,278,624,0.44551282051282054,10319,231,125,0.9424460431654677,0.9861471861471861,0.02859013531209079,G3_recovery_only__q0250,G3_recovery_only,0.25,0.5445379614830017
5,130,59,5053,5130,189,671,0.2816691505216095,10372,288,91,0.6878306878306878,0.9884585289514867,0.024714828897338403,G3_recovery_only__q0250,G3_recovery_only,0.25,0.5445379614830017
1,61,73,6281,3929,134,561,0.23885918003565063,10344,92,27,0.4552238805970149,0.988511174063582,0.015288220551378446,G3_recovery_only__q0500,G3_recovery_only,0.5,0.5998151302337646
2,62,59,5492,4795,121,566,0.2137809187279152,10408,91,30,0.512396694214876,0.9893712844532516,0.01276508132592135,G3_recovery_only__q0500,G3_recovery_only,0.5,0.5998151302337646
3,52,4,2841,7500,56,594,0.09427609427609428,10397,136,21,0.9285714285714286,0.9985940246045695,0.006885593220338983,G3_recovery_only__q0500,G3_recovery_only,0.5,0.5998151302337646
