events,signals,signal_rate,true_positive,false_positive,true_negative,false_negative,precision,prevalence,precision_lift,precision_ratio,specificity,sensitivity,fold_id,dates,signals_per_date,signal_fraction,development_fold,confirmation_only
10372,1179,0.11367142306209024,707,472,4640,4553,0.5996607294317218,0.5071345931353645,0.09252613629635731,1.1824488756018665,0.9076682316118936,0.1344106463878327,5,288,4.09375,0.1,False,True
10344,1598,0.15448569218870842,620,978,5376,3370,0.3879849812265332,0.3857308584686775,0.002254122757855692,1.0058437708790124,0.846081208687441,0.15538847117794485,1,92,17.369565217391305,0.15,True,False
10408,1603,0.1540161414296695,772,831,4720,4085,0.4815970056144729,0.46666026133743277,0.014936744277040115,1.0320077484940156,0.8502972437398667,0.1589458513485691,2,91,17.615384615384617,0.15,True,False
10397,1627,0.15648744830239492,1233,394,2451,6319,0.7578365089121082,0.7263633740502068,0.0314731348619014,1.0433297382361213,0.8615114235500879,0.16326800847457626,3,136,11.963235294117647,0.15,True,False
10319,1656,0.1604806667312724,1487,169,986,7677,0.8979468599033816,0.888070549471848,0.009876310431533586,1.0111210876629195,0.8536796536796537,0.16226538629419468,4,231,7.1688311688311686,0.15,True,False
10372,1703,0.16419205553413035,1006,697,4415,4254,0.5907222548443922,0.5071345931353645,0.08358766170902776,1.1648234272330866,0.8636541471048513,0.19125475285171104,5,288,5.913194444444445,0.15,False,True
10344,2101,0.20311291569992265,818,1283,5071,3172,0.38933841028081867,0.3857308584686775,0.0036075518121411743,1.0093525102618517,0.7980799496380233,0.2050125313283208,1,92,22.83695652173913,0.2,True,False
10408,2118,0.20349730976172176,1026,1092,4459,3831,0.48441926345609065,0.46666026133743277,0.017759002118657885,1.0380555268789358,0.8032786885245902,0.2112415071031501,2,91,23.274725274725274,0.2,True,False
10397,2141,0.20592478599596037,1616,525,2320,5936,0.7547874824848202,0.7263633740502068,0.028424108434613404,1.0391320783096762,0.8154657293497364,0.21398305084745764,3,136,15.742647058823529,0.2,True,False
10319,2147,0.20806279678263398,1926,221,934,7238,0.8970656730321379,0.888070549471848,0.008995123560289864,1.010128838936996,0.8086580086580086,0.2101702313400262,4,231,9.294372294372295,0.2,True,False
10372,2195,0.21162745854222909,1269,926,4186,3991,0.5781321184510251,0.5071345931353645,0.07099752531566061,1.139997401630044,0.8188575899843505,0.24125475285171102,5,288,7.621527777777778,0.2,False,True
