dEven,candidate_event_count,has_candidate_event
2015-12-08,99,True
2015-12-09,94,True
2015-12-13,87,True
2015-12-14,89,True
2015-12-15,89,True
2015-12-16,104,True
2015-12-19,93,True
2015-12-20,83,True
2015-12-21,75,True
2015-12-22,72,True
2015-12-23,76,True
2015-12-26,70,True
2015-12-27,74,True
2015-12-28,78,True
2015-12-30,74,True
2016-01-02,77,True
2016-01-03,75,True
2016-01-04,79,True
2016-01-05,79,True
2016-01-06,78,True
2016-01-09,81,True
2016-01-10,73,True
2016-01-11,64,True
2016-01-12,68,True
2016-01-13,71,True
2016-01-16,67,True
2016-01-17,76,True
2016-01-18,75,True
2016-01-19,67,True
2016-01-20,65,True
2016-01-23,43,True
2016-01-24,47,True
2016-01-25,40,True
2016-01-26,37,True
2016-01-27,44,True
2016-01-30,32,True
2016-01-31,41,True
2016-02-01,34,True
2016-02-02,32,True
2016-02-03,30,True
2016-02-06,30,True
2016-02-07,25,True
2016-02-08,26,True
2016-02-09,23,True
2016-02-10,21,True
2016-02-13,24,True
2016-02-14,24,True
2016-02-15,24,True
2016-02-16,32,True
2016-02-17,37,True
2016-02-20,27,True
2016-02-21,28,True
2016-02-22,27,True
2016-02-23,33,True
2016-02-24,28,True
2016-02-27,25,True
2016-02-28,31,True
2016-02-29,31,True
2016-03-01,40,True
2016-03-02,37,True
2016-03-05,34,True
2016-03-06,47,True
2016-03-07,52,True
2016-03-08,48,True
2016-03-09,55,True
2016-03-12,54,True
2016-03-14,55,True
2016-03-15,47,True
2016-03-16,54,True
2016-03-26,46,True
2016-03-27,53,True
2016-03-28,56,True
2016-03-29,52,True
2016-03-30,51,True
2016-04-02,52,True
2016-04-03,59,True
2016-04-04,60,True
2016-04-05,57,True
2016-04-06,55,True
2016-04-09,51,True
2016-04-10,57,True
2016-04-11,57,True
2016-04-12,66,True
2016-04-13,74,True
2016-04-16,100,True
2016-04-17,92,True
2016-04-18,84,True
2016-04-19,82,True
2016-04-20,93,True
2016-04-23,81,True
2016-04-24,81,True
2016-04-25,92,True
2016-04-26,88,True
2016-04-27,80,True
2016-04-30,91,True
2016-05-01,91,True
2016-05-02,88,True
2016-05-03,83,True
2016-05-04,78,True
2016-05-07,83,True
2016-05-08,75,True
2016-05-09,96,True
2016-05-10,112,True
2016-05-11,103,True
2016-05-14,103,True
2016-05-15,96,True
2016-05-16,95,True
2016-05-17,82,True
2016-05-18,79,True
2016-05-21,75,True
2016-05-23,70,True
2016-05-24,80,True
2016-05-25,72,True
2016-05-28,77,True
2016-05-29,91,True
2016-05-30,85,True
2016-05-31,84,True
2016-06-01,80,True
2016-06-05,80,True
2016-06-06,84,True
2016-06-07,97,True
2016-06-08,106,True
2016-06-11,105,True
2016-06-12,113,True
2016-06-13,99,True
2016-06-14,95,True
2016-06-15,104,True
2016-06-18,93,True
2016-06-19,93,True
2016-06-20,101,True
2016-06-21,106,True
2016-06-22,111,True
2016-06-25,113,True
2016-06-26,113,True
2016-06-28,120,True
2016-06-29,113,True
2016-07-02,115,True
2016-07-03,107,True
2016-07-04,114,True
2016-07-05,112,True
2016-07-09,104,True
2016-07-10,101,True
2016-07-11,104,True
2016-07-12,92,True
2016-07-13,90,True
2016-07-16,97,True
2016-07-17,111,True
2016-07-18,118,True
2016-07-19,107,True
2016-07-20,99,True
2016-07-23,86,True
2016-07-24,88,True
2016-07-25,100,True
2016-07-26,105,True
2016-07-27,109,True
2016-07-31,121,True
2016-08-01,119,True
2016-08-02,122,True
2016-08-03,110,True
2016-08-06,108,True
2016-08-07,112,True
2016-08-08,108,True
2016-08-09,115,True
2016-08-10,122,True
2016-08-13,108,True
2016-08-14,115,True
2016-08-15,114,True
2016-08-16,108,True
2016-08-17,111,True
2016-08-20,96,True
2016-08-21,108,True
2016-08-22,88,True
2016-08-23,94,True
2016-08-24,100,True
2016-08-27,106,True
2016-08-28,103,True
2016-08-29,100,True
2016-08-30,103,True
2016-08-31,99,True
2016-09-03,96,True
2016-09-04,99,True
2016-09-05,96,True
2016-09-06,87,True
2016-09-07,86,True
2016-09-10,93,True
2016-09-11,84,True
2016-09-13,82,True
2016-09-14,86,True
2016-09-17,76,True
2016-09-18,72,True
2016-09-19,72,True
2016-09-21,62,True
2016-09-24,66,True
2016-09-25,73,True
2016-09-26,76,True
2016-09-27,62,True
2016-09-28,75,True
2016-10-01,75,True
2016-10-02,81,True
2016-10-03,80,True
2016-10-04,80,True
2016-10-05,84,True
2016-10-08,85,True
2016-10-09,75,True
2016-10-10,69,True
2016-10-15,77,True
2016-10-16,86,True
2016-10-17,81,True
2016-10-18,79,True
2016-10-19,71,True
2016-10-22,63,True
2016-10-23,60,True
2016-10-24,55,True
2016-10-25,49,True
2016-10-26,49,True
2016-10-29,52,True
2016-10-30,54,True
2016-10-31,47,True
2016-11-01,57,True
2016-11-02,52,True
2016-11-05,59,True
2016-11-06,56,True
2016-11-07,48,True
2016-11-08,54,True
2016-11-09,65,True
2016-11-12,62,True
2016-11-13,60,True
2016-11-14,66,True
2016-11-15,70,True
2016-11-16,55,True
2016-11-19,58,True
2016-11-21,55,True
2016-11-22,61,True
2016-11-23,59,True
2016-11-26,65,True
2016-11-27,62,True
2016-11-29,55,True
2016-12-03,63,True
2016-12-04,69,True
2016-12-05,66,True
2016-12-06,64,True
2016-12-07,62,True
2016-12-10,66,True
2016-12-11,59,True
2016-12-12,68,True
2016-12-13,69,True
2016-12-14,69,True
2016-12-18,67,True
2016-12-19,72,True
2016-12-20,72,True
2016-12-21,71,True
2016-12-24,75,True
2016-12-25,76,True
2016-12-26,79,True
2016-12-27,84,True
2016-12-28,94,True
2016-12-31,90,True
2017-01-01,89,True
2017-01-02,90,True
2017-01-03,84,True
2017-01-04,85,True
2017-01-07,80,True
2017-01-08,75,True
2017-01-09,76,True
2017-01-11,79,True
2017-01-14,74,True
2017-01-15,73,True
2017-01-16,81,True
2017-01-17,79,True
2017-01-18,76,True
2017-01-21,72,True
2017-01-22,65,True
2017-01-23,76,True
2017-01-24,75,True
2017-01-25,77,True
2017-01-28,84,True
2017-01-29,90,True
2017-01-30,94,True
2017-01-31,100,True
2017-02-01,106,True
2017-02-04,117,True
2017-02-05,131,True
2017-02-06,119,True
2017-02-07,122,True
2017-02-08,124,True
2017-02-11,111,True
2017-02-12,106,True
2017-02-13,115,True
2017-02-14,114,True
2017-02-15,113,True
2017-02-18,104,True
2017-02-19,75,True
2017-02-20,73,True
2017-02-21,78,True
2017-02-22,71,True
2017-02-25,80,True
2017-02-26,83,True
2017-02-27,83,True
2017-02-28,76,True
2017-03-01,80,True
2017-03-04,86,True
2017-03-05,92,True
2017-03-06,102,True
2017-03-07,109,True
2017-03-08,101,True
2017-03-11,100,True
2017-03-12,104,True
2017-03-13,119,True
2017-03-14,114,True
2017-03-15,101,True
2017-03-18,95,True
2017-03-25,87,True
2017-03-26,87,True
2017-03-27,82,True
2017-03-28,82,True
2017-03-29,81,True
2017-04-03,73,True
2017-04-04,67,True
2017-04-05,68,True
2017-04-08,74,True
2017-04-09,72,True
2017-04-10,61,True
2017-04-12,56,True
2017-04-15,55,True
2017-04-16,66,True
2017-04-17,66,True
2017-04-18,62,True
2017-04-19,72,True
2017-04-22,62,True
2017-04-23,66,True
2017-04-24,58,True
2017-04-26,56,True
2017-04-29,62,True
2017-04-30,61,True
2017-05-01,64,True
2017-05-02,61,True
2017-05-03,59,True
2017-05-06,71,True
2017-05-07,66,True
2017-05-08,75,True
2017-05-09,66,True
2017-05-10,68,True
2017-05-13,66,True
2017-05-14,75,True
2017-05-15,78,True
2017-05-16,77,True
2017-05-17,75,True
2017-05-20,58,True
2017-05-21,74,True
2017-05-22,68,True
2017-05-23,68,True
2017-05-24,70,True
2017-05-27,82,True
2017-05-28,83,True
2017-05-29,95,True
2017-05-30,86,True
2017-05-31,86,True
2017-06-03,96,True
2017-06-06,106,True
2017-06-07,107,True
2017-06-10,100,True
2017-06-11,107,True
2017-06-12,103,True
2017-06-13,110,True
2017-06-14,112,True
2017-06-17,123,True
2017-06-18,113,True
2017-06-19,107,True
2017-06-20,100,True
2017-06-21,96,True
2017-06-24,100,True
2017-06-25,108,True
2017-06-28,112,True
2017-07-01,127,True
2017-07-02,109,True
2017-07-03,120,True
2017-07-04,120,True
2017-07-05,112,True
2017-07-08,107,True
2017-07-09,112,True
2017-07-10,111,True
2017-07-11,109,True
2017-07-12,108,True
2017-07-15,110,True
2017-07-16,108,True
2017-07-17,104,True
2017-07-18,105,True
2017-07-19,87,True
2017-07-22,81,True
2017-07-23,73,True
2017-07-24,68,True
2017-07-25,76,True
2017-07-26,97,True
