dEven,fold_id,candidate_events,required_quota,selected_signals,selected_positive_labels,raw_score_cutoff,minimum_raw_score,maximum_raw_score
2018-04-30,2,92,5,5,5,0.6044156551361084,0.4974183440208435,0.6508017182350159
2018-05-01,2,83,5,5,4,0.5748501420021057,0.4806960225105285,0.5936707258224487
2018-05-05,2,96,5,5,4,0.5993450880050659,0.4894534051418304,0.6464056372642517
2018-05-06,2,90,5,5,3,0.6466077566146851,0.4873830080032348,0.7037272453308105
2018-05-07,2,98,5,5,4,0.5837505459785461,0.4691356122493744,0.6614658236503601
2018-05-08,2,96,5,5,3,0.5950626134872437,0.4552595913410187,0.6051124334335327
2018-05-09,2,109,6,6,6,0.6073347926139832,0.4953479766845703,0.6468170285224915
2018-05-12,2,115,6,6,5,0.6306983232498169,0.489232987165451,0.6402958035469055
2018-05-13,2,113,6,6,2,0.5998324155807495,0.4819889962673187,0.608936607837677
2018-05-14,2,113,6,6,5,0.5947949290275574,0.4375015795230865,0.6064226627349854
2018-05-15,2,110,6,6,6,0.5484486222267151,0.4007781744003296,0.5683099031448364
2018-05-16,2,104,6,6,4,0.5405653715133667,0.3929475545883178,0.562225341796875
2018-05-19,2,98,5,5,3,0.5534986257553101,0.4190817773342132,0.5744337439537048
2018-05-20,2,93,5,5,3,0.5441545844078064,0.3794328570365906,0.574530303478241
2018-05-21,2,105,6,6,3,0.5336949825286865,0.3368130028247833,0.5642263293266296
2018-05-22,2,103,6,6,3,0.5065585970878601,0.3166549503803253,0.5346522927284241
2018-05-23,2,117,6,6,2,0.5483664274215698,0.3587990403175354,0.5777544975280762
2018-05-26,2,120,6,6,3,0.5282951593399048,0.3300353288650512,0.5508988499641418
2018-05-27,2,122,7,7,5,0.5661659240722656,0.4590705037117004,0.5959571599960327
2018-05-28,2,137,7,7,2,0.5545294284820557,0.4359282255172729,0.6030670404434204
2018-05-29,2,131,7,7,3,0.5417153239250183,0.4340592324733734,0.6030372977256775
2018-05-30,2,135,7,7,3,0.5389966368675232,0.4104088842868805,0.6063120365142822
