model_name,feature_set_name,fold_id,true_positive,false_positive,true_negative,false_negative,signals,events,dates,precision,specificity,sensitivity
xgboost,A_baseline_35,3,456,138,2707,7096,594,10397,136,0.7676767676767676,0.951493848857645,0.06038135593220339
xgboost,A_baseline_35,4,556,68,1087,8608,624,10319,231,0.8910256410256411,0.9411255411255411,0.060672195547795724
xgboost,A_baseline_35,5,416,255,4857,4844,671,10372,288,0.6199701937406855,0.9501173708920188,0.07908745247148288
xgboost,B_plus_started,1,230,331,6023,3760,561,10344,92,0.40998217468805703,0.947906830343091,0.05764411027568922
xgboost,B_plus_started,2,291,275,5276,4566,566,10408,91,0.5141342756183745,0.9504593766888849,0.05991352686843731
xgboost,B_plus_started,3,462,132,2713,7090,594,10397,136,0.7777777777777778,0.9536028119507909,0.061175847457627115
xgboost,B_plus_started,4,558,66,1089,8606,624,10319,231,0.8942307692307693,0.9428571428571428,0.06089044085552161
xgboost,B_plus_started,5,405,266,4846,4855,671,10372,288,0.6035767511177347,0.9479655712050078,0.07699619771863118
xgboost,C_plus_breadth_raw,1,229,332,6022,3761,561,10344,92,0.40819964349376114,0.9477494491658798,0.057393483709273184
xgboost,C_plus_breadth_raw,2,302,264,5287,4555,566,10408,91,0.5335689045936396,0.9524410016213295,0.06217829936174593
xgboost,C_plus_breadth_raw,3,451,143,2702,7101,594,10397,136,0.7592592592592593,0.9497363796133568,0.05971927966101695
xgboost,C_plus_breadth_raw,4,556,68,1087,8608,624,10319,231,0.8910256410256411,0.9411255411255411,0.060672195547795724
xgboost,C_plus_breadth_raw,5,410,261,4851,4850,671,10372,288,0.6110283159463488,0.948943661971831,0.0779467680608365
xgboost,D_plus_breadth_ema30,1,223,338,6016,3767,561,10344,92,0.39750445632798576,0.9468051621026126,0.05588972431077694
xgboost,D_plus_breadth_ema30,2,290,276,5275,4567,566,10408,91,0.5123674911660777,0.9502792289677535,0.05970763845995471
xgboost,D_plus_breadth_ema30,3,457,137,2708,7095,594,10397,136,0.7693602693602694,0.9518453427065027,0.060513771186440676
xgboost,D_plus_breadth_ema30,4,562,62,1093,8602,624,10319,231,0.9006410256410257,0.9463203463203463,0.06132693147097337
xgboost,D_plus_breadth_ema30,5,410,261,4851,4850,671,10372,288,0.6110283159463488,0.948943661971831,0.0779467680608365
xgboost,E_plus_breadth_slope5,1,228,333,6021,3762,561,10344,92,0.40641711229946526,0.9475920679886686,0.05714285714285714
xgboost,E_plus_breadth_slope5,2,291,275,5276,4566,566,10408,91,0.5141342756183745,0.9504593766888849,0.05991352686843731
xgboost,E_plus_breadth_slope5,3,468,126,2719,7084,594,10397,136,0.7878787878787878,0.9557117750439368,0.06197033898305085
xgboost,E_plus_breadth_slope5,4,562,62,1093,8602,624,10319,231,0.9006410256410257,0.9463203463203463,0.06132693147097337
xgboost,E_plus_breadth_slope5,5,411,260,4852,4849,671,10372,288,0.6125186289120715,0.9491392801251957,0.07813688212927757
xgboost,F_plus_all_continuous_breadth,1,248,313,6041,3742,561,10344,92,0.44206773618538325,0.9507396915328926,0.06215538847117794
xgboost,F_plus_all_continuous_breadth,2,285,281,5270,4572,566,10408,91,0.5035335689045937,0.9493784903620969,0.05867819641754169
xgboost,F_plus_all_continuous_breadth,3,465,129,2716,7087,594,10397,136,0.7828282828282829,0.9546572934973638,0.061573093220338986
xgboost,F_plus_all_continuous_breadth,4,562,62,1093,8602,624,10319,231,0.9006410256410257,0.9463203463203463,0.06132693147097337
xgboost,F_plus_all_continuous_breadth,5,399,272,4840,4861,671,10372,288,0.5946348733233979,0.94679186228482,0.07585551330798479
xgboost,G_plus_breadth_regime,1,229,332,6022,3761,561,10344,92,0.40819964349376114,0.9477494491658798,0.057393483709273184
xgboost,G_plus_breadth_regime,2,293,273,5278,4564,566,10408,91,0.5176678445229682,0.9508196721311475,0.06032530368540251
xgboost,G_plus_breadth_regime,3,460,134,2711,7092,594,10397,136,0.7744107744107744,0.9528998242530756,0.06091101694915254
xgboost,G_plus_breadth_regime,4,560,64,1091,8604,624,10319,231,0.8974358974358975,0.9445887445887445,0.06110868616324749
xgboost,G_plus_breadth_regime,5,412,259,4853,4848,671,10372,288,0.6140089418777943,0.9493348982785602,0.07832699619771863
xgboost,H_plus_slope5_and_regime,1,228,333,6021,3762,561,10344,92,0.40641711229946526,0.9475920679886686,0.05714285714285714
xgboost,H_plus_slope5_and_regime,2,300,266,5285,4557,566,10408,91,0.5300353356890459,0.9520807061790668,0.06176652254478073
xgboost,H_plus_slope5_and_regime,3,457,137,2708,7095,594,10397,136,0.7693602693602694,0.9518453427065027,0.060513771186440676
xgboost,H_plus_slope5_and_regime,4,565,59,1096,8599,624,10319,231,0.905448717948718,0.9489177489177489,0.0616542994325622
xgboost,H_plus_slope5_and_regime,5,405,266,4846,4855,671,10372,288,0.6035767511177347,0.9479655712050078,0.07699619771863118
xgboost,I_full_40,1,247,314,6040,3743,561,10344,92,0.44028520499108736,0.9505823103556814,0.06190476190476191
xgboost,I_full_40,2,295,271,5280,4562,566,10408,91,0.5212014134275619,0.9511799675734102,0.060737080502367716
xgboost,I_full_40,3,473,121,2724,7079,594,10397,136,0.7962962962962963,0.957469244288225,0.0626324152542373
xgboost,I_full_40,4,560,64,1091,8604,624,10319,231,0.8974358974358975,0.9445887445887445,0.06110868616324749
xgboost,I_full_40,5,412,259,4853,4848,671,10372,288,0.6140089418777943,0.9493348982785602,0.07832699619771863
