events,positive_fraction,roc_auc,average_precision,log_loss,brier_score,threshold,accuracy,balanced_accuracy,precision,sensitivity,recall,specificity,f1,mcc,tn,fp,fn,tp,model_name,feature_set_name,feature_count,numeric_feature_count,categorical_feature_count,fold_id,train_events,validation_events,train_positive_fraction,validation_positive_fraction,average_uniqueness_weighting_applied,train_sample_weight_mean,train_sample_weight_min,train_sample_weight_max,validation_metrics_weighted,fit_seconds,inference_seconds
10372,0.5071345931353645,0.5544057782478564,0.5669941348039842,0.7503517093442615,0.27496814903633054,0.5,0.4887196297724643,0.4826862314571842,0.49775316124986935,0.9055133079847909,0.9055133079847909,0.05985915492957746,0.6423899116595859,-0.06477670422920509,306,4806,497,4763,random_forest,F_plus_all_continuous_breadth,38,37,1,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,35.11158250000153,0.05157429999962915
10344,0.3857308584686775,0.48043034088210773,0.3799842638852753,0.7960760716950029,0.2985879707253127,0.5,0.40815931941221967,0.47634241410892675,0.371782535482319,0.77468671679198,0.77468671679198,0.17799811142587346,0.5024382314694408,-0.05799057903908542,1131,5223,899,3091,random_forest,G_plus_breadth_regime,36,34,2,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,17.872726200002944,0.06124550000822637
10408,0.46666026133743277,0.49790476739413037,0.47416743066188377,0.7167899553874235,0.2614388253244412,0.5,0.47204073789392775,0.49064222161863896,0.4606852353956125,0.7696108709079679,0.7696108709079679,0.21167357232931003,0.5763626551538047,-0.022524658135126066,1175,4376,1119,3738,random_forest,G_plus_breadth_regime,36,34,2,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,21.923988499998813,0.05096670000057202
10397,0.7263633740502068,0.5387220136054929,0.7768376798515337,0.7777657263958698,0.2909159383351661,0.5,0.3834760026930845,0.5419805458952668,0.8251708428246014,0.1918697033898305,0.1918697033898305,0.892091388400703,0.3113450795015041,0.0999093066266263,2538,307,6103,1449,random_forest,G_plus_breadth_regime,36,34,2,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,25.132265299995197,0.059788500002468936
10319,0.888070549471848,0.4976541936166554,0.9002952709210769,0.6592148998223253,0.2367337825817551,0.5,0.5233065219498013,0.48153068377861047,0.8812645949344351,0.5353557398515932,0.5353557398515932,0.4277056277056277,0.6660783381983572,-0.023364985643262524,494,661,4258,4906,random_forest,G_plus_breadth_regime,36,34,2,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,28.242471099991235,0.06015639999532141
10372,0.5071345931353645,0.5429445441130092,0.5515550402890519,0.7529427028426449,0.2741225077564174,0.5,0.4957578094870806,0.4899033512439232,0.5015889830508474,0.9001901140684411,0.9001901140684411,0.07961658841940532,0.64421768707483,-0.03530218489266652,407,4705,525,4735,random_forest,G_plus_breadth_regime,36,34,2,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,33.6257528999995,0.07629320000705775
10344,0.3857308584686775,0.4781303076703405,0.379040315078916,0.7969072227124088,0.29892472574103673,0.5,0.404969064191802,0.4750976828284119,0.37120761451516954,0.7819548872180451,0.7819548872180451,0.16824047843877873,0.5034288019362646,-0.06211865526156298,1069,5285,870,3120,random_forest,H_plus_slope5_and_regime,37,35,2,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,18.598817499994766,0.05961500000557862
10408,0.46666026133743277,0.4794479342115507,0.45994399295624566,0.7197691946567742,0.26289928878966434,0.5,0.4663720215219062,0.4840536998213767,0.4563009404388715,0.7492279184681903,0.7492279184681903,0.21887948117456313,0.5671758104738155,-0.03759440328298762,1215,4336,1218,3639,random_forest,H_plus_slope5_and_regime,37,35,2,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,21.82748590000847,0.06359789999260101
10397,0.7263633740502068,0.5335138586875577,0.775112296309738,0.7793247067060876,0.2914913705300961,0.5,0.3854958161007983,0.5428232095782074,0.825405707890319,0.1953125,0.1953125,0.8903339191564148,0.31587964450155265,0.10120861553088,2533,312,6077,1475,random_forest,H_plus_slope5_and_regime,37,35,2,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,24.65604990000429,0.06608309999865014
10319,0.888070549471848,0.4869487888802599,0.8964323861407109,0.6669017615876704,0.24010457276878838,0.5,0.5128403915108053,0.48131314705954603,0.8810093939952109,0.5219336534264514,0.5219336534264514,0.4406926406926407,0.6555197697526212,-0.023598551450433197,509,646,4381,4783,random_forest,H_plus_slope5_and_regime,37,35,2,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,31.070484900003066,0.08605220000026748
10372,0.5071345931353645,0.5353535184490976,0.5454964261755022,0.7549137830572774,0.27627033539720164,0.5,0.4868877747782491,0.4810315101423922,0.49671610169491526,0.8914448669201521,0.8914448669201521,0.07061815336463224,0.6379591836734694,-0.06632192049712692,361,4751,571,4689,random_forest,H_plus_slope5_and_regime,37,35,2,5,107360,10372,0.5392883755588673,0.5071345931353645,True,1.0,0.31837299323945095,9.869562790423288,False,35.17053909999959,0.07303410000167787
10344,0.3857308584686775,0.4744740155393204,0.3740119708164611,0.7956304163881536,0.29843701111872317,0.5,0.4069025522041763,0.477230966935753,0.3724580806278987,0.7849624060150376,0.7849624060150376,0.16949952785646838,0.5052020324219695,-0.05684234361125014,1077,5277,858,3132,random_forest,I_full_40,40,38,2,1,62717,10344,0.5022721112298101,0.3857308584686775,True,0.9999999999999998,0.33537416646232093,10.396599160332254,False,18.786080899997614,0.07541189999028575
10408,0.46666026133743277,0.4744264602100344,0.4615817054483112,0.7211698550238279,0.2635498247483361,0.5,0.4656033820138355,0.483345979280527,0.45585472761427676,0.7494338068766728,0.7494338068766728,0.2172581516843812,0.5668898925401028,-0.03931919288636358,1206,4345,1217,3640,random_forest,I_full_40,40,38,2,2,73590,10408,0.4856366354124202,0.46666026133743277,True,1.0000000000000002,0.34266121177818065,10.622497565123911,False,23.10077760000422,0.06856539999716915
10397,0.7263633740502068,0.543023089124542,0.7799192175559088,0.7751257972476588,0.2894384031970804,0.5,0.3862652688275464,0.5463104316225313,0.8363009764503159,0.19279661016949154,0.19279661016949154,0.8998242530755711,0.31335413752286667,0.1105918036243008,2560,285,6096,1456,random_forest,I_full_40,40,38,2,3,83825,10397,0.4746555323590814,0.7263633740502068,True,1.0,0.3437930721380264,10.65758523627913,False,25.99099560000468,0.06164169999829028
10319,0.888070549471848,0.48900256225659977,0.8983307578026286,0.6549606706634811,0.2348446464287876,0.5,0.5276674096327163,0.46998739656967503,0.8772423496306718,0.5443037974683544,0.5443037974683544,0.3956709956709957,0.6717845117845118,-0.03804806895389795,457,698,4176,4988,random_forest,I_full_40,40,38,2,4,94059,10319,0.49821920284077015,0.888070549471848,True,1.0,0.3302478543176708,10.237683483848098,False,30.818731899998966,0.0783244000049308
